Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PT,ES,36.32
2010,UNIDAD_MEDIDA.PT,ES53,37.46
2011,UNIDAD_MEDIDA.PT,ES,36.31
2011,UNIDAD_MEDIDA.PT,ES53,37.43
2012,UNIDAD_MEDIDA.PT,ES,36.35
2012,UNIDAD_MEDIDA.PT,ES53,37.43
2013,UNIDAD_MEDIDA.PT,ES,36.35
2013,UNIDAD_MEDIDA.PT,ES53,37.43
2014,UNIDAD_MEDIDA.PT,ES,36.35
2014,UNIDAD_MEDIDA.PT,ES53,37.43
2015,UNIDAD_MEDIDA.PT,ES,36.36
2015,UNIDAD_MEDIDA.PT,ES53,37.43
2016,UNIDAD_MEDIDA.PT,ES,36.32
2016,UNIDAD_MEDIDA.PT,ES53,37.43
2017,UNIDAD_MEDIDA.PT,ES,36.49
2017,UNIDAD_MEDIDA.PT,ES53,37.43
2018,UNIDAD_MEDIDA.PT,ES,36.50
2018,UNIDAD_MEDIDA.PT,ES53,37.43
2019,UNIDAD_MEDIDA.PT,ES,36.50
2019,UNIDAD_MEDIDA.PT,ES53,37.43
2020,UNIDAD_MEDIDA.PT,ES,36.81
2020,UNIDAD_MEDIDA.PT,ES53,37.43
2021,UNIDAD_MEDIDA.PT,ES53,37.44
2022,UNIDAD_MEDIDA.PT,ES,38.02
2022,UNIDAD_MEDIDA.PT,ES53,37.44
2023,UNIDAD_MEDIDA.PT,ES,38.53
